sep = ,
"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","IRL","Ireland","2009","2009",130.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","IRL","Ireland","2010","2010",130.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","IRL","Ireland","2011","2011",129.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","IRL","Ireland","2012","2012",130,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","IRL","Ireland","2013","2013",125.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ITA","Italy","2000","2000",153.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ITA","Italy","2001","2001",155.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ITA","Italy","2002","2002",155.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ITA","Italy","2003","2003",152.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ITA","Italy","2004","2004",150.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ITA","Italy","2005","2005",147.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ITA","Italy","2006","2006",156.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ITA","Italy","2007","2007",156.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ITA","Italy","2008","2008",155.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ITA","Italy","2009","2009",152.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ITA","Italy","2010","2010",156.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ITA","Italy","2011","2011",157.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ITA","Italy","2012","2012",157.9,,
